run_idx,repeat,query,query_category,source,source_name,recipe_title,recipe_url,extraction_method,has_title,has_ingredients,has_instructions,has_image,ingredient_count,instruction_count,completeness_score,formatting_artifact
214,4,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
217,4,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
220,4,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
223,4,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
226,4,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
229,4,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
232,4,omelette,breakfast,bbc,BBC Food,Cheese and ham omelette,https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,Schema.org JSON-LD,1,1,1,1,5,5,1.0,0
235,4,ramen,main,bbc,BBC Food,"Chicken, miso and mushroom ramen",https://www.bbc.co.uk/food/recipes/chicken_miso_and_49410,Schema.org JSON-LD,1,1,1,1,17,5,1.0,0
238,4,stir fry,main,bbc,BBC Food,"Chicken, broccoli and oyster sauce stir-fry",https://www.bbc.co.uk/food/recipes/chicken_broccoli_and_82311,Schema.org JSON-LD,1,1,1,0,27,11,1.0,0
241,5,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,1,1,1,0,46,19,1.0,0
244,5,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,1,1,1,1,15,6,1.0,0
247,5,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,1,1,1,1,21,14,1.0,0
250,5,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
253,5,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
256,5,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
259,5,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
262,5,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
265,5,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
268,5,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
271,5,brownies,dessert,bbc,BBC Food,Slow-cooker brownies,https://www.bbc.co.uk/food/recipes/slow-cooked_cream_cheese_96294,Schema.org JSON-LD,1,1,1,0,8,8,1.0,0
274,5,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
277,5,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
280,5,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
283,5,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
286,5,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
289,5,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
292,5,omelette,breakfast,bbc,BBC Food,Cheese and ham omelette,https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,Schema.org JSON-LD,1,1,1,1,5,5,1.0,0
295,5,ramen,main,bbc,BBC Food,"Chicken, miso and mushroom ramen",https://www.bbc.co.uk/food/recipes/chicken_miso_and_49410,Schema.org JSON-LD,1,1,1,1,17,5,1.0,0
298,5,stir fry,main,bbc,BBC Food,"Chicken, broccoli and oyster sauce stir-fry",https://www.bbc.co.uk/food/recipes/chicken_broccoli_and_82311,Schema.org JSON-LD,1,1,1,0,27,11,1.0,0
