recipe_url,_title,_source,celery,gluten,crustaceans,eggs,fish,lupin,milk,molluscs,mustard,nuts,peanuts,sesame,soya,sulphites
https://www.bbc.co.uk/food/recipes/creamy_pasta_with_99280,Creamy pasta with broccoli and sweetcorn,BBC Food,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,Chicken pasta bake,BBC Good Food,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/easy-vegetable-lasagne,Vegetarian lasagne,BBC Good Food,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.foodafactoflife.org.uk/recipes/cook-club/pasta-fiorentina/,Pasta fiorentina,Food - a Fact of Life,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/spicy-harissa-pasta/qCVj819ysIwQalbeBGM93,Spicy Harissa Pasta,Ocado,absent,present,absent,absent,absent,absent,uncertain,absent,absent,absent,absent,present,absent,absent
https://www.ocado.com/recipes/tomato-martini-pasta/UybZ7PBw14oqYLyo8zY4S,Tomato Martini Pasta  ,Ocado,absent,present,absent,absent,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/greek-veggie-pasta-salad/,Greek Veggie Pasta Salad,The Real Food Dietitians,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/zucchini-pasta-carbonara-shrimp/,Zucchini “Pasta” Carbonara with Shrimp,The Real Food Dietitians,absent,absent,present,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/creamy-butternut-squash-pasta-bake/,CREAMY BUTTERNUT SQUASH PASTA BAKE,Tom Kerridge,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/spinach-and-ricotta-pasta-bake/,SPINACH AND RICOTTA PASTA BAKE,Tom Kerridge,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Chocolate drip cake,BBC Food,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,uncertain,absent
https://www.bbc.co.uk/food/recipes/easy_chocolate_cake_31070,Easy chocolate cake,BBC Food,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,uncertain,absent
https://www.bbcgoodfood.com/recipes/ultimate-chocolate-cake,Ultimate chocolate cake,BBC Good Food,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,uncertain,absent
https://www.bbcgoodfood.com/recipes/easy-chocolate-cake,Easy chocolate cake,BBC Good Food,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,uncertain,absent
https://www.foodafactoflife.org.uk/recipes/cook-club/victoria-sponge-cake/,Victoria sponge cake,Food - a Fact of Life,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/spiced-carrot-cake/5EqXSVnaK8A5n0xvyeCz2x,Spiced Carrot Cake,Ocado,absent,present,absent,present,absent,absent,present,absent,absent,present,absent,absent,absent,absent
https://www.ocado.com/recipes/red-grapefruit-upside-down-cake-with-lemony-creme-fraiche/6NSnOyLxp9FxMfKhv3okw0,Red Grapefruit Upside-down Cake with Lemony Crème Fraîche    ,Ocado,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/easy-tuna-cakes/,Easy Tuna Cakes with Roasted Red Pepper Mayo,The Real Food Dietitians,absent,uncertain,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent
https://therealfooddietitians.com/sweet-potato-pancakes/,Fluffy Sweet Potato Pancakes (gluten-free),The Real Food Dietitians,absent,absent,absent,present,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/blueberry-lemon-and-thyme-breakfast-pancakes/,"BLUEBERRY, LEMON AND THYME PANCAKES",Tom Kerridge,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/corn-cakes-with-mexican-beans/,CORN CAKES WITH MEXICAN BEANS,Tom Kerridge,absent,uncertain,absent,present,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Easy slow cooker beef stew,BBC Food,present,uncertain,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present
https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333,Beef stew and dumplings,BBC Food,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present
https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew,Slow-cooker beef stew,BBC Good Food,present,uncertain,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present
https://www.bbcgoodfood.com/recipes/beef-vegetable-casserole,Beef stew,BBC Good Food,present,uncertain,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present
https://www.foodafactoflife.org.uk/recipes/cook-club/swiss-roll/,Swiss roll,Food - a Fact of Life,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/harissa-beef-sheetpan-kebab/4gCu6mEBtEjfGGv99ikVky,Harissa Beef Sheetpan Kebab,Ocado,absent,uncertain,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent
https://www.ocado.com/recipes/korean-beef-rolls/5bNE4yxrhQlqsTl7K13HSO,Korean Beef Rolls ,Ocado,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,present,absent
https://therealfooddietitians.com/instant-pot-beef-barbacoa/,Instant Pot Beef Barbacoa,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/instant-pot-shredded-beef-two-ways/,Instant Pot Shredded Beef,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/pork-stew-with-a-smoked-cheese-crust/,PORK STEW WITH A SMOKED CHEESE CRUST,Tom Kerridge,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present
https://tomkerridge.com/recipes/salt-beef-bagels-with-pickled-vegetables-and-black-pepper-cream-cheese/,"SALT BEEF BAGELS, PICKLED VEG AND BLACK PEPPER CREAM CHEESE",Tom Kerridge,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,present,absent,present
https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Mushroom soup with garlic bread,BBC Food,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/mushroomsoup_83366,Creamy mushroom soup,BBC Food,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/mushroom-soup,Mushroom soup,BBC Good Food,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,Soup maker mushroom soup,BBC Good Food,absent,absent,absent,absent,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://www.foodafactoflife.org.uk/recipes/ks3-sow-2020/spicy-chickpea-and-mushroom-burgers/,Spicy chickpea and mushroom burgers,Food - a Fact of Life,absent,present,absent,uncertain,absent,absent,absent,absent,absent,absent,absent,present,absent,absent
https://www.ocado.com/recipes/mamas-salmon-pepper-soup/3nclyQb9tuHjU4TMFIupuP,Mama’s Salmon Pepper Soup ,Ocado,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/leek-mushroom-and-herb-oat-crust-quiche/2a7tO0iQ62IxafKxPStWlY,"Leek, Mushroom and Herb Oat Crust Quiche",Ocado,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/cauliflower-soup/,Cauliflower Soup,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/instant-pot-turkey-mushroom-bolognese/,Instant Pot Turkey Mushroom Bolognese,The Real Food Dietitians,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,uncertain
https://tomkerridge.com/recipes/chicken-and-sweetcorn-soup/,CHICKEN AND SWEETCORN SOUP,Tom Kerridge,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,How to cook salmon,BBC Food,absent,absent,absent,absent,present,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/salmon_in_pastry_84486,Salmon in pastry,BBC Food,absent,present,absent,present,present,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/creamy-salmon-leek-potato-traybake,"Creamy salmon, leek & potato traybake",BBC Good Food,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/teriyaki-salmon-sesame-pak-choi,Teriyaki salmon,BBC Good Food,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,present,present,absent
https://www.ocado.com/recipes/hot-maple-butter-salmon-with-baby-leaf-greens-and-sesame-roasted-potatoes/5oD7TMcuI93gB5Uk8O1iMH,Hot Maple Butter Salmon with Baby Leaf Greens and Sesame Roasted Potatoes ,Ocado,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,present,absent,absent
https://therealfooddietitians.com/salmon-caesar-salad-grain-bowl/,Salmon Caesar Salad Grain Bowl,The Real Food Dietitians,absent,uncertain,absent,present,present,absent,present,absent,present,absent,absent,absent,absent,absent
https://therealfooddietitians.com/grilled-salmon-with-elote-style-veggies/,Grilled Salmon with Elote-Style Veggies,The Real Food Dietitians,absent,absent,absent,absent,present,absent,uncertain,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/smoked-salmon-scrambled-egg-with-asparagus/,"SMOKED SALMON, SCRAMBLED EGG AND ASPARAGUS",Tom Kerridge,absent,absent,absent,present,present,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/salmon-barbecued-in-pine-with-pine-nut-and-parmesan-pesto/,SALMON BARBECUED IN PINE WITH PINE NUT AND PARMESAN PESTO,Tom Kerridge,absent,absent,absent,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Chana dal with crispy tarka,BBC Food,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/dosa_potato_filling_77669,Dosa with potato filling,BBC Food,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/spiced-carrot-lentil-soup,Spiced carrot & lentil soup,BBC Good Food,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/lentil-soup,Lentil soup,BBC Good Food,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/cauliflower-and-lentil-dhal/1X57FwnjA4XZiMgVuCiBwm,Cauliflower & Lentil Dhal,Ocado,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/lemon-cumin-and-coriander-lentil-soup/7E7ql97jnxGdeGy9RjJpqH,"Lemon, Cumin and Coriander Lentil Soup",Ocado,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/vegan-shepherds-pie-with-lentils/,Vegan Shepherd's Pie with Lentils,The Real Food Dietitians,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://therealfooddietitians.com/hearty-slow-cooker-vegan-chili-with-lentils/,Hearty Slow Cooker Vegan Chili (with lentils) ,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/pork-and-lentil-sausage-rolls/,PORK AND LENTIL SAUSAGE ROLLS,Tom Kerridge,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Perfect apple pie,BBC Food,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbc.co.uk/food/recipes/apple_and_blackberry_pie_80942,Apple and blackberry pie,BBC Food,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/ultimate-apple-pie,Homemade apple pie,BBC Good Food,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.bbcgoodfood.com/recipes/apple-pie-bars,Apple pie bars,BBC Good Food,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.foodafactoflife.org.uk/recipes/cook-club/cottage-pie/,Cottage pie,Food - a Fact of Life,present,uncertain,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,uncertain
https://www.foodafactoflife.org.uk/recipes/breakfast/oaty-apple-and-orange-squares/,Oaty apple and orange squares,Food - a Fact of Life,absent,present,absent,uncertain,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://www.ocado.com/recipes/cookie-dough-krispie-treats/6VRO72r9ShXi3cgTRnbqfJ,Cookie Dough Krispie Treats,Ocado,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,uncertain,absent
https://www.ocado.com/recipes/spiced-carrots-with-pickled-bramley-apples-and-goats-cheese/7lGX5QDJcT1gi8AAZY3QwE,Spiced Carrots with Pickled Bramley Apples and Goat’s Cheese   ,Ocado,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present
https://therealfooddietitians.com/frozen-pineapple-margaritas/,Frozen Pineapple Margaritas,The Real Food Dietitians,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present
https://therealfooddietitians.com/bison-burger-pineapple-sriracha-aioli/,Bison Burger with Grilled Pineapple and Sriracha Aioli,The Real Food Dietitians,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,present,absent,absent
https://tomkerridge.com/recipes/shepherds-pie-with-creamy-cauliflower-topping/,SHEPHERD’S PIE WITH CAULIFLOWER TOPPING,Tom Kerridge,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
https://tomkerridge.com/recipes/chicken-ham-and-leek-pie/,"CHICKEN, HAM AND LEEK PIE",Tom Kerridge,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
