Area,Device,Interface,IPv6 Address,Prefix Length,Gateway,VLAN,Description,Host Requirement
Area 2,R7,G0/1,2001:db8:ff00::21,/127,N/A,N/A,Link to R8,2
Area 2,R7,G0/2,2001:db8:2000:400::1,/64,N/A,400,VLAN 400 Gateway,18
Area 2,R8,G0/0,2001:db8:ff00::20,/127,N/A,N/A,Link to R7,2
Area 2,R8,G0/1,2001:db8:ff00::25,/127,N/A,N/A,Link to R9,2
Area 2,R8,G0/2,2001:db8:2000:100::1,/64,N/A,100,VLAN 100 Gateway,14
Area 2,R8,G0/3,2001:db8:2000:200::1,/64,N/A,200,VLAN 200 Gateway,12
Area 2,R9,G0/0,2001:db8:ff00::29,/127,N/A,N/A,Link to R10,2
Area 2,R9,G0/1,2001:db8:ff00::24,/127,N/A,N/A,Link to R8,2
Area 2,R10,G0/0,2001:db8:ff00::28,/127,N/A,N/A,Link to R9,2
Area 2,R10,G0/1,2001:db8:2000:300::1,/64,N/A,300,VLAN 300 Gateway,5
Area 2,VLAN 400,Host Range,2001:db8:2000:400::2 onwards,/64,2001:db8:2000:400::1,400,Workstations,18
Area 2,VLAN 100,Host Range,2001:db8:2000:100::2 onwards,/64,2001:db8:2000:100::1,100,Servers,14
Area 2,VLAN 200,Host Range,2001:db8:2000:200::2 onwards,/64,2001:db8:2000:200::1,200,Workstations,12
Area 2,VLAN 300,Host Range,2001:db8:2000:300::2 onwards,/64,2001:db8:2000:300::1,300,Servers,5
Area 2,VLAN 1,Host Range,2001:db8:2000:1::2 onwards,/64,2001:db8:2000:1::1,1,Management,2
Area 3,R11,G0/0,2001:db8:ff00::19,/127,N/A,N/A,Link to ISP,2
Area 3,R11,G0/1,2001:db8:ff00::31,/127,N/A,N/A,Link to R12,2
Area 3,R11,G0/2,2001:db8:3000:6::1,/64,N/A,6,VLAN 6 Gateway,202000
Area 3,R11,G0/3,2001:db8:3000:7::1,/64,N/A,7,VLAN 7 Gateway,2000
Area 3,R12,G0/0,2001:db8:ff00::30,/127,N/A,N/A,Link to R11,2
Area 3,R12,G0/1,2001:db8:ff00::33,/127,N/A,N/A,Link to R13,2
Area 3,R12,G0/2,2001:db8:3000:8::1,/64,N/A,8,VLAN 8 Gateway,200000
Area 3,R12,G0/3,2001:db8:3000:9::1,/64,N/A,9,VLAN 9 Gateway,10000
Area 3,R12,G0/4,2001:db8:3000:11::1,/64,N/A,11,VLAN 11 Gateway,5000
Area 3,R13,G0/0,2001:db8:ff00::32,/127,N/A,N/A,Link to R12,2
Area 3,R13,G0/1,2001:db8:3000:10::1,/64,N/A,10,VLAN 10 Gateway,5000000
Area 3,R13,G0/2,2001:db8:3000:500::1,/64,N/A,500,VLAN 500 Gateway,20
Area 3,R13,G0/3,2001:db8:3000:600::1,/64,N/A,600,VLAN 600 Gateway,40
Area 3,R13,G0/4,2001:db8:3000:700::1,/64,N/A,700,VLAN 700 Gateway,80
Area 3,VLAN 10,Host Range,2001:db8:3000:10::2 onwards,/64,2001:db8:3000:10::1,10,Large User Network,5000000
Area 3,VLAN 8,Host Range,2001:db8:3000:8::2 onwards,/64,2001:db8:3000:8::1,8,User Network,200000
Area 3,VLAN 6,Host Range,2001:db8:3000:6::2 onwards,/64,2001:db8:3000:6::1,6,User Network,202000
Area 3,VLAN 9,Host Range,2001:db8:3000:9::2 onwards,/64,2001:db8:3000:9::1,9,User Network,10000
Area 3,VLAN 11,Host Range,2001:db8:3000:11::2 onwards,/64,2001:db8:3000:11::1,11,User Network,5000
Area 3,VLAN 7,Host Range,2001:db8:3000:7::2 onwards,/64,2001:db8:3000:7::1,7,User Network,2000
Area 3,VLAN 700,Host Range,2001:db8:3000:700::2 onwards,/64,2001:db8:3000:700::1,700,Servers,80
Area 3,VLAN 600,Host Range,2001:db8:3000:600::2 onwards,/64,2001:db8:3000:600::1,600,Servers,40
Area 3,VLAN 500,Host Range,2001:db8:3000:500::2 onwards,/64,2001:db8:3000:500::1,500,Servers,20
ISP,ISP,G1/1/1,2001:db8:ff00::14,/127,N/A,N/A,Link to R1 (Area 1),2
ISP,ISP,G1/1/2,2001:db8:ff00::18,/127,N/A,N/A,Link to R11 (Area 3),2
ISP,ISP,G1/1/3,2001:db8:ff00::16,/127,N/A,N/A,Link to R7 (Area 2),2

